Date,Open,High,Low,Close,Adj Close,Volume
2005-05-27,2.896392,2.935419,2.731919,2.757008,2.522629,26979224
2005-05-30,2.681741,2.826700,2.681741,2.759796,2.525180,11285456
2005-05-31,2.770946,2.770946,2.542357,2.600898,2.379790,16579897
2005-06-01,2.617624,2.709617,2.536782,2.670590,2.443557,14102286
2005-06-02,2.648289,2.779309,2.642713,2.698467,2.469064,13653323
2005-06-03,2.698467,2.698467,2.564658,2.651076,2.425703,8863748
2005-06-06,2.614837,2.915905,2.606474,2.843426,2.601700,17546940
2005-06-07,2.829487,2.940994,2.790460,2.860152,2.617005,16932568
2005-06-08,2.840638,3.147282,2.815549,3.147282,2.879725,20796063
2005-06-09,3.152857,3.451138,3.150070,3.275515,2.997056,26340074
2005-06-10,3.233700,3.275515,3.083166,3.205823,2.933289,14932024
2005-06-13,3.177947,3.300604,3.094316,3.203036,2.930739,10311400
2005-06-14,3.200248,3.242063,3.010686,3.013474,2.757293,11703217
2005-06-15,2.993960,3.044138,2.932631,2.996748,2.741988,7737805
2005-06-16,2.982809,3.013474,2.829487,2.988385,2.734336,9965904
2005-06-17,2.993960,3.060864,2.982809,2.993960,2.739438,8718591
2005-06-20,3.044138,3.292241,2.993960,3.292241,3.012361,14638884
2005-06-21,3.347995,3.531981,3.256001,3.370296,3.083780,22112975
2005-06-22,3.289453,3.414899,3.236488,3.297816,3.017462,13405604
2005-06-23,3.253214,3.412111,3.253214,3.289453,3.009810,11089447
2005-06-24,3.289453,3.400960,3.275515,3.392597,3.104186,8229688
2005-06-27,3.512467,3.707604,3.512467,3.565433,3.262328,14944903
2005-06-28,3.459501,3.529193,3.420474,3.442775,3.150098,7768476
2005-06-29,3.456714,3.551495,3.428837,3.437200,3.144996,5739608
2005-06-30,3.378659,3.437200,3.275515,3.289453,3.009810,6632109
2005-07-01,3.253214,3.314542,3.208611,3.256001,2.979202,6029089
2005-07-04,3.267152,3.387022,3.242063,3.373084,3.086332,6702680
2005-07-05,3.381447,3.453926,3.334056,3.353570,3.068476,6165224
2005-07-06,3.339632,3.420474,3.222549,3.250426,2.974101,5043554
2005-07-07,3.233700,3.286666,3.150070,3.216974,2.943492,4074294
2005-07-08,3.216974,3.331269,3.150070,3.300604,3.020013,4565571
2005-07-11,3.345207,3.534769,3.300604,3.308967,3.027665,6136448
2005-07-12,3.283878,3.593310,3.233700,3.531981,3.231721,9192481
2005-07-13,3.484591,3.534769,3.414899,3.420474,3.129693,5974503
2005-07-14,3.428837,3.476228,3.395385,3.412111,3.122040,3487568
2005-07-15,3.428837,3.453926,3.289453,3.314542,3.032766,4586621
2005-07-18,3.303392,3.400960,3.275515,3.395385,3.106736,2948610
2005-07-19,3.426049,3.453926,3.359145,3.409323,3.119489,3209440
